"CURR_ID","CURR_NAME","CURR_NAME_EN","UNIV_NAME_TH","LEV_NAME_TH","TOTAL_PLAN"
"25551581101615","หลักสูตรพยาบาลศาสตรบัณฑิต สาขาวิชาพยาบาลศาสตร์","Bachelor of Nursing Science Program in Nursing Science","มหาวิทยาลัยราชภัฏร้อยเอ็ด","ปริญญาตรี","70"
"25651484000796","หลักสูตรพยาบาลศาสตรบัณฑิต","Bachelor of Nursing Science Program","มหาวิทยาลัยราชภัฏนครราชสีมา","ปริญญาตรี","72"
"T20212128104591","หลักสูตรพยาบาลศาสตรบัณฑิต (สำหรับผู้สำเร็จปริญญาตรีสาขาอื่น)","Bachelor of Nursing Science Program","ราชวิทยาลัยจุฬาภรณ์","ปริญญาตรี","0"
"25470191104277","หลักสูตรพยาบาลศาสตรมหาบัณฑิต (หลักสูตรนานาชาติ)","Master of Nursing Science Program (International Program)","มหาวิทยาลัยบูรพา","ปริญญาโท","30"
"25501141102296","หลักสูตรพยาบาลศาสตรบัณฑิต","Bachelor of Nursing Science Program","วิทยาลัยนานาชาติเซนต์เทเรซา","ปริญญาตรี","120"
"25540141104955","หลักสูตรวิทยาศาสตรมหาบัณฑิต สาขาวิชาวิทยาศาสตร์เกษตรและเทคโนโลยี (วิทยาการหลังการเก็บเกี่ยว) (หลักสูตรนานาชาติ)","Master of Science Program in AgriScience and Technology (Postharvest) (International Program)","มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี","ปริญญาโท","2"
"25490141111349","หลักสูตรปรัชญาดุษฎีบัณฑิต สาขาวิชาเทคโนโลยีชีวภาพ (หลักสูตรนานาชาติ)","Doctor of Philosophy Program in Biotechnology (International Program)","มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี","ปริญญาเอก","6"
"25490141111261","หลักสูตรวิทยาศาสตรมหาบัณฑิต สาขาวิชาเทคโนโลยีชีวภาพ (หลักสูตรนานาชาติ)","Master of Science Program in Biotechnology (International Program)","มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี","ปริญญาโท","7"
"25540731101215","หลักสูตรพยาบาลศาสตรบัณฑิต","Bachelor of Nursing Science Program","มหาวิทยาลัยหัวเฉียวเฉลิมพระเกียรติ","ปริญญาตรี","160"
"25521801108401","หลักสูตรปรัชญาดุษฎีบัณฑิต สาขาวิชานโยบายสาธารณะและการจัดการ","Doctor of Philosophy Program in Public Policy and Management","มหาวิทยาลัยเกษมบัณฑิต","ปริญญาเอก","15"
"25481801103636","หลักสูตรศิลปศาสตรมหาบัณฑิต สาขาวิชาจิตวิทยาเพื่อการพัฒนาศักยภาพมนุษย์","Master of Arts Program in Psychology for Developing Human Potentials","มหาวิทยาลัยเกษมบัณฑิต","ปริญญาโท","10"
"25510101104979","หลักสูตรแพทยศาสตรบัณฑิต","Doctor of Medicine Program","มหาวิทยาลัยสงขลานครินทร์","ปริญญาตรี","188"
"25510101104979","หลักสูตรแพทยศาสตรบัณฑิต","Doctor of Medicine Program","มหาวิทยาลัยสงขลานครินทร์","ปริญญาตรี","200"
"25580101102997","หลักสูตรวิทยาศาสตรมหาบัณฑิต สาขาวิชาวิทยาศาสตร์สุขภาพและการวิจัยทางคลินิก","Master of Science Program in Health Sciences and Clinical Research","มหาวิทยาลัยสงขลานครินทร์","ปริญญาโท","4"
"25570101102737","หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชารังสีเทคนิค","Bachelor of Science Program in Radiological Technology","มหาวิทยาลัยสงขลานครินทร์","ปริญญาตรี","30"
"25540101104782","หลักสูตรวิทยาศาสตรมหาบัณฑิต สาขาวิชาระบาดวิทยา (หลักสูตรนานาชาติ)","Master of  Science Program in Epidemiology (International Program)","มหาวิทยาลัยสงขลานครินทร์","ปริญญาโท","6"
"25580101103008","หลักสูตรปรัชญาดุษฎีบัณฑิต สาขาวิชาวิทยาศาสตร์สุขภาพและการวิจัยทางคลินิก","Doctor of Philosophy Program in Health Sciences and Clinical Research","มหาวิทยาลัยสงขลานครินทร์","ปริญญาเอก","4"
"25650104000128","หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาปฏิบัติการฉุกเฉินการแพทย์","Bachelor of Science Program in Emergency Medical Operation","มหาวิทยาลัยสงขลานครินทร์","ปริญญาตรี","20"
"25400141101326","หลักสูตรวิทยาศาสตรมหาบัณฑิต สาขาวิชาเทคโนโลยีชีวเคมี  (หลักสูตรนานาชาติ)","Master of Science Program in Biochemical Technology (International Program)","มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี","ปริญญาโท","10"
"25530141104976","หลักสูตรวิทยาศาสตรมหาบัณฑิต สาขาวิชาวิศวกรรมซอฟต์แวร์เพื่อวิทยาการข้อมูล","Master of Science Program in Software Engineering for  Data Science","มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี","ปริญญาโท","5"
"25540141104966","หลักสูตรวิทยาศาสตรมหาบัณฑิต สาขาวิชาวิทยาการคอมพิวเตอร์","Master of Science Program in Computer Science","มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี","ปริญญาโท","4"
"25490211107196","หลักสูตรพยาบาลศาสตรบัณฑิต","Bachelor of Nursing Science Program","มหาวิทยาลัยมหาสารคาม","ปริญญาตรี","100"
"25390051100043","หลักสูตรพยาบาลศาสตรบัณฑิต","Bachelor of Nursing Science Program","มหาวิทยาลัยธรรมศาสตร์","ปริญญาตรี","120"
